id,date,tweet,fav
93,2/22/2016 19:50,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0
94,2/22/2016 19:49,b'@Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https://t.co/q49k4yCVn8',9
95,2/22/2016 19:49,b'RT @joeygalletta: #Deadpool #DeadpoolMovie #PixelArt\nHappy Monday!! https://t.co/MvQ3miQqkC',0
96,2/22/2016 19:48,b'RT @joeygalletta: #Deadpool #DeadpoolMovie #PixelArt\nHappy Monday!! https://t.co/MvQ3miQqkC',0
97,2/22/2016 19:48,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
98,2/22/2016 19:47,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
99,2/22/2016 19:47,b'RT @joeygalletta: #Deadpool #DeadpoolMovie #PixelArt\nHappy Monday!! https://t.co/MvQ3miQqkC',0
100,2/22/2016 19:45,b'#Deadpool #DeadpoolMovie #PixelArt\nHappy Monday!! https://t.co/MvQ3miQqkC',2
101,2/22/2016 19:41,b'RT @EviternalTattoo: Portrait Deadpool - Ryan Reynolds @VancityReynolds @Marvel @MarvelSpain #deadpool #DeadpoolMovie #marvel #art #draw ht\xe2\x80\xa6',0
102,2/22/2016 19:32,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
103,2/22/2016 19:31,"b""RT @StonewolfGaming: If you haven't seen Deadpool yet, then go fucking watch it!! Seriously it's awesome as hell! #Deadpool #DeadpoolMovie""",0
104,2/22/2016 19:31,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
105,2/22/2016 19:30,"b""If you haven't seen Deadpool yet, then go fucking watch it!! Seriously it's awesome as hell! #Deadpool #DeadpoolMovie""",0
106,2/22/2016 19:28,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0
107,2/22/2016 19:28,"b'RT @GeekOutpost: To be fair, Colossus did try to get him to keep it PG around Negasonic Teenage Warhead. #DeadpoolMovie https://t.co/zkT2yU\xe2\x80\xa6'",0
108,2/22/2016 19:26,b'RT @ExtremeConsoles: #Deadpool week for us - check out this PS4 custom controller\n\n#DeadpoolMovie #superhero #ps4 #customcontroller #RT htt\xe2\x80\xa6',0
109,2/22/2016 19:26,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
110,2/22/2016 19:26,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0
111,2/22/2016 19:24,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0
112,2/22/2016 19:23,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
113,2/22/2016 19:23,"b'RT @koalistcom: How ""#Deadpool"" Is Filmed ? https://t.co/VeACXNDhYl @deadpoolmovie #DeadpoolMovie #vfx #marvel https://t.co/g18Q27sra6'",0
114,2/22/2016 19:22,"b'RT @FlicksCity: ALL #Deadpool easter eggs, #Marvel #XMen Spider-Man &amp; Green Lantern references + post-credits https://t.co/NLLzAgt8Wg #Dead\xe2\x80\xa6'",0
115,2/22/2016 19:21,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
116,2/22/2016 19:19,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
